Fecha;Dia semana;Monto total;Efectivo;Tarjeta Credito;Tarjeta Debito;Web Pay;PedidosYa;PedidosYa Vouchers;Rappi;UberEats;Mercat;Transferencia;PedidosYa Efectivo;Uber eats
domingo, 30 de octubre de 2022;Sunday;1417732;79312;78826;848004;0;102710;0;81620;162510;64750;0;0;0
lunes, 31 de octubre de 2022;Monday;1591110;197783;82659;533347;0;116970;0;217150;307611;135590;0;0;0
martes, 1 de noviembre de 2022;Tuesday;1436016;125319;90150;818355;0;80210;0;83590;208172;20770;0;9450;0
miércoles, 2 de noviembre de 2022;Wednesday;774083;91521;44319;429443;0;63500;0;32070;69250;0;0;43980;0
jueves, 3 de noviembre de 2022;Thursday;1383749;126453;256685;688190;0;7990;0;83770;195781;24880;0;0;0
viernes, 4 de noviembre de 2022;Friday;2306644;291370;184479;901963;0;230410;0;240790;400662;46970;0;10000;0
sábado, 5 de noviembre de 2022;Saturday;2647737;185937;97086;1546061;0;220880;0;178980;381843;28660;0;8290;0
domingo, 6 de noviembre de 2022;Sunday;1574458;185693;321606;717508;0;78310;7434;51860;87421;93690;0;30936;0
lunes, 7 de noviembre de 2022;Monday;508662;82657;53857;288002;0;9690;0;10290;21990;23960;18216;0;0
martes, 8 de noviembre de 2022;Tuesday;807752;71495;62370;384267;0;94300;0;75130;102200;17990;0;0;0
miércoles, 9 de noviembre de 2022;Wednesday;911610;67050;129019;397390;0;41870;0;65950;191391;9490;0;9450;0
jueves, 10 de noviembre de 2022;Thursday;1517307;62289;44913;1113535;0;72590;0;93210;116290;0;0;14480;0
viernes, 11 de noviembre de 2022;Friday;1769088;94173;246403;812492;0;132270;0;123180;291940;45150;0;23480;0
sábado, 12 de noviembre de 2022;Saturday;1770905;120684;67311;675129;0;185900;0;189030;484791;48060;0;0;0
domingo, 13 de noviembre de 2022;Sunday;1014489;108318;118675;506966;0;41460;0;30470;148560;40270;0;19770;0
lunes, 14 de noviembre de 2022;Monday;724479;37440;117359;449100;0;0;0;67930;33270;19380;0;0;0
martes, 15 de noviembre de 2022;Tuesday;1315154;134549;242616;749219;0;123730;0;0;65040;0;0;0;0
